City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,hami,42.8,93.45,30.77,17,10,3.13,CN,1722647850
116,kerikeri,-35.2268,173.9474,14.95,95,100,4.47,NZ,1722647851
117,ingeniero jacobacci,-41.3427,-69.5448,5.38,62,0,9.85,AR,1722647852
118,rumbek,6.802,29.6912,21.44,76,22,1.22,SS,1722647853
119,isafjordur,66.0755,-23.124,8.04,95,100,1.64,IS,1722647855
120,cotonou,6.3654,2.4183,23.98,90,100,3.89,BJ,1722647856
121,riversdale,18.1659,-76.9642,27.92,98,100,1.36,JM,1722647857
122,khilok,51.3674,110.4676,14.28,95,100,1.76,RU,1722647858
123,port elizabeth,-33.918,25.5701,8.51,98,0,1.54,ZA,1722647859
124,ribeira grande,38.5167,-28.7,22.48,78,10,2.43,PT,1722647862
125,machico,32.7,-16.7667,23.35,68,20,6.69,PT,1722647863
126,ta`u,-14.2336,-169.5144,26.32,67,19,8.35,AS,1722647864
127,ghadamis,30.1337,9.5007,31.86,16,0,4.81,LY,1722647867
128,grand falls-windsor,48.9332,-55.6649,11.39,90,6,1.02,CA,1722647868
129,palikir - national government center,6.9248,158.1611,30.47,74,75,4.12,FM,1722647870
130,stanley,54.868,-1.6985,15.4,89,40,1.54,GB,1722647871
131,bandar,2.05,99.75,22.39,99,100,1.66,ID,1722647872
132,kavaratti,10.5669,72.642,27.19,79,100,7.02,IN,1722647874
133,vadso,70.0744,29.7487,11.49,87,75,5.14,NO,1722647875
134,remire-montjoly,4.9167,-52.2667,24.02,100,0,0.0,GF,1722647876
135,revelstoke,50.9832,-118.2023,27.01,65,75,0.0,CA,1722647877
136,aleg,17.0481,-13.9209,33.67,44,43,8.58,MR,1722647879
137,bredasdorp,-34.5322,20.0403,6.56,94,0,1.94,ZA,1722647880
138,talnakh,69.4865,88.3972,17.49,70,10,0.76,RU,1722647881
139,uturoa,-16.7333,-151.4333,24.22,64,87,5.59,PF,1722647883
140,kurumkan,54.3,110.3,20.4,73,100,1.09,RU,1722647884
141,kievka,50.2619,71.5514,18.01,82,4,4.89,KZ,1722647885
142,bom jesus da lapa,-13.255,-43.4181,23.62,45,40,3.17,BR,1722647886
143,kapa'a,22.0752,-159.319,28.6,66,100,4.63,US,1722647888
144,dadeldhura,29.2984,80.5806,20.54,99,94,0.29,NP,1722647889
145,port mathurin,-19.6833,63.4167,22.11,67,53,5.49,MU,1722647890
146,susuman,62.7833,148.1667,9.91,45,100,2.12,RU,1722647893
147,weatherford,32.7593,-97.7972,35.62,43,8,0.89,US,1722647878
148,vernon,50.2581,-119.2691,37.39,22,100,1.54,CA,1722647895
149,chonchi,-42.6128,-73.8092,7.56,93,100,3.47,CL,1722647897
150,kodinsk,58.6881,99.1844,12.96,94,100,3.07,RU,1722647898
